項目,表記,単位数
測量士試験,測量士,2
測量士補試験,測量士補,1
基礎製図検定試験,基礎製図検定,1
情報検定(J検)情報システム試験基本スキル,情報検定:情報システム基本スキル,1
情報検定(J検)情報システム試験プログラミングスキル,情報検定:情報システムプログラミングスキル,1
情報検定(J検)情報システム試験システムデザインスキル,情報検定:情報システムシステムデザインスキル,1
情報検定(J検)情報デザイン試験初級,情報検定:情報デザイン初級,1
情報検定(J検)情報デザイン試験上級,情報検定:情報デザイン上級,1
2級ビオトープ計画管理士試験,ビオトープ計画管理士:2級,1
2級ビオトープ施工管理士試験,ビオトープ施工管理士:2級,1
環境社会検定,eco検定,1
