項目,表記,単位数
情報処理技術者試験エンベデッドシステムスペシャリスト試験,情報処理:エンベデッドシステムスペシャリスト,3
情報処理技術者試験ITサービスマネージャ試験,情報処理:ITサービスマネージャ,3
情報処理技術者試験システム監査技術者試験,情報処理:システム監査技術者,3
